tconst,averageRating,numVotes
tt1118057,7.8,2349
tt1118058,8.1,2343
tt1118059,8.3,2382
tt1118060,7.9,2268
tt1118061,8.4,2355
tt1118062,8.3,2313
tt1118063,8.5,2338
tt1118052,7.9,2208
tt1118053,8.3,2466
tt1118054,8.5,2364
tt1118055,8.9,2599
tt1059578,8.1,4732
tt1049715,7.5,3501
tt1049716,7.6,3263
tt1040713,7.9,3074
tt1097127,8.1,3002
tt1042049,7.9,2968
tt1050979,8.1,2833
tt1097128,8.3,2948
tt1097298,8.2,2818
tt1094472,8.2,2725
tt1108366,8.1,2603
tt1102103,9.0,3168
tt1105057,9.0,3413
tt11033898,7.9,5777
tt11610548,8.5,5354
tt11610550,8.1,4750
tt11610552,8.2,4716
tt11610556,9.3,6939
tt11610558,8.6,4634
tt11610562,9.0,5346
tt10161330,8.6,29506
tt10161334,8.7,26454
tt10161336,7.7,24151
tt10161340,9.0,25234
tt10161338,8.9,21841
tt10161342,8.6,21848
tt0790636,7.9,485743
tt5516154,8.3,66911
tt5822200,8.0,2009
tt5822202,8.2,1929
tt5822478,8.2,1834
tt5822482,7.9,1747
tt5807790,8.2,1831
tt7664718,8.9,2498
tt5761072,8.0,2378
tt0118715,8.1,802411
tt4183010,7.9,1347
tt2699128,8.3,97591
tt7984766,7.3,127939
tt3203968,7.9,6023
tt3603056,7.4,4898
tt3631218,8.8,5917
tt3594942,7.6,4436
tt3630790,8.2,4418
tt3666322,8.8,4996
tt3725022,8.0,4160
